区域专员（工程机械  常州）,8-12k,常州-武进区,1-3年,统招本科,职责描述：1、渠道经销商管理；2、融资租赁业务审批；3、债权的管理和回收；4、融资租赁业务方案及风险处置方案设计与执行；5、与业务合作方及客户进行业务谈判；6、业务数据分析及业务风险的识别与监控。任职要求：1、本科以上学历；2、一年以上设备销售、渠道经销商管理、信用管理行业相关工作经验者优先；3、熟练使用常用办公软件。
质量控制技术专家（工程机械）,20-30k·16薪,常州,10年以上,大专及以上,工作内容：1、负责参加整机及部件新产品研发过程质量控制，参加新供应商或新零件开发过程审核；2、负责指导质量改进工作，参加整机和零部件重大质量问题的调查处理；3、负责参与市场走访、市场疑难问题的解决；4、负责指导整机和部件技术人员和检验人员开展质量控制和检测工作；任职资格：1、专业要求：液压、电气、机械类相关专业；2、8年以上大中型工程机械行业质量管理或制造相关技术工作经历，有挖掘机制造工作经验者优先，其他工程机械产品经验亦可考虑；3、知识要求：具备整机及零部件质量控制及制造经验，具有挖掘机智能化技术、电控相关技术工作经验；熟悉工程机械行业发展及技术要求。
技术产品经理(工程机械）,8-15k,常州,5-10年,本科及以上,"岗位职责（工作内容）：1、市场走访：收集客户需求，建立客户需求库，并进行分析、整理；收集产品问题，并对问题进行分析、整理，跟踪问题解决进度。2、新产品开发：主导新产品可行性分析和产品定义阶段；根据前期市场调研数据，结合公司发展战略和法律法规要求，编制可行性分析阶段和产品定义阶段报告；监控产品定义能够落实到产品上；对新产品的市场表现进行分析；参与新产品的市场走访。负责产品的规划、认证和应用。3、销售支持：根据市场的需求及销售公司的实际情况，提供技术服务和支持；必要时陪同销售人员参加产品投标会。职位要求（含学历、专业、行业经验、其他辅助功能要求等）：1.专业知识背景：机械设计、液压、车辆工程等相关专业2.学历：本科及以上学历3.工作经验\业务技能：5年以上工程机械总体或部件设计相关工作经验，挖掘机和矿卡相关设计经验优先。熟悉机械设计、产品知识；了解国家与本行业相关的标准及法律法规，了解国际国内同行业的专业技术状态与发展方向，了解竞争对手产品信息；具备一定的项目管理能力。4.具有一定英语读写能力；熟练使用计算机常用办公软件，如：WORD,EEXCEL,PPT,PROJECT；熟悉CAD、PRO/E、SAP等计算机辅助工具软件的使用。其他：有较强的人际交往能力；沟通能力；组织协调能力；分析判断能力；创新能力；应变能力；学习能力。微信分享"
工程机械行业销售经理,11-20k,苏州,10年以上,大专及以上,"Sales Manager-off-road Machinery 工程机械行业销售经理主要负责公司产品在国内工程机械行业的销售，工作方式可以home office.Job Summary: Business development in off-road machinery industries, including OEMs and aftermarket, etc. This position reports directly to General Manager China.Essential Functions: •	Develop and fine-tune marketing pitches for different customers;•	Build Grote brand in the industry; •	Spend 80% of time working with customers•	Win business opportunities and grow Grote business continuously; •	Develop and manage effective relationships with OEMs related customers; •	Identifies market needs and work with engineering team/operations team to get right products to fulfill the needs;•	Working with customer service/operations team to deliver quality products to customers on time;•	Collect market data and insights; always be learning•	Uncover problems and provide solutions thru Grote•	Provide suggestions and ideas on business opportunities and approaches;•	Work with management to build right approach and strategies for the market; •	Payment collection from customers;•	Others requested by your managers.Skills and Education Required: •	At least college degree, preferably Bachelor degree or above in Engineering or Science;•	5 years’ minimum experience in off-road machinery industries; •	Excellent communication/negotiation skills;•	Knowledge of Off-road machinery market. •	Experience working with lamps/harness preferred;•	Able to travel up to 80% of working time."
国内营销经理（工程机械）,5-7k,南通,3-5年,大专及以上,职责描述：1、负责国内区域销售市场的销售任务分解，销售任务完成。2、 负责区域租赁商销售体系搭建及潜在客户渠道开发，区域内客户洽谈、客户管理及客户关系维护。4、 负责组织收集区域市场信息，不同行业渠道建设开发和建设，区域的客户服务工作。5、 负责组织区域市场竞争对手信息收集并分析，提供分析报告。任职要求：1、大专及以上学历，3年以上工程机械行业营销工作经验，有机械重工类市场区域销售经验优先考虑；2、年龄28-36岁， 有较强的商务谈判及沟通能力；有较强的市场分析、市场规划和营销公关能力；有抓钢（料）销售经验者优先；熟练掌握基本机械操作和原理；
大客户销售工程师（工程机械）,7-9k·20薪,南京,经验不限,大专及以上,工作职责：1、负责区域内的销售工作，为客户提供产品和方案； 2、结合市场情况、客户情况和销售目标，策划销售计划及执行； 3、负责老客户的维护和新客户的开拓； 4、按照CRM系统要求，建立客户档案，制定拜访计划、提交客户拜访记录和商机等； 5、支持其他部门做好日常相关工作。工作要求：1、大专以上学历，专业不限； 2、具有工程机械行业的配套件产品销售经验优先考虑(液压配套件、传动配套件)，熟悉本行业的客户需求信息； 3、良好的销售战略策划和商务汇报能力； 4、具有英语听说读写能力优秀者优先。
设计工程师（汽车/工程机械空调）,8-11k,无锡,10年以上,统招本科,岗位职责:1、工程机械、汽车空调系统的匹配设计、分析验证、确定各组件模块主要性能技术参数。2、完成符合客户要求的空调系统方案。3、掌握供热通风与空气调节HVAC内部结构及布置规范，了解HVAC在整车布置中的注意事项。4、跟踪客户装车及路试验证。5、进行空调标定及评估。6、上级安排的其他任务。任职要求：1. 空调、制冷等相关专业，本科及以上学历；具备一定的电气知识；2. 具有扎实的理论基础知识及相关实践经验，了解蒸发器、暖风器、膨胀阀、压缩机、冷凝器、鼓风机等核心部件的主要技术参数。3. 熟练使用AUTO CAD及三维软件。4. 具备3年以上核心部件独立设计经验和相关成果；5. 具备整套设计经验或担任过设计项目主要负责人经验优先；6. 熟悉TS16949及汽车零部件开发流程。7. 认真负责、具备项目团队领导力。
产品经理（工程机械业务）,18-25k·15薪,苏州,5-10年,本科及以上,工作职责:1.理解工程机械液压行业相关生产制造工艺，提炼客户的当前痛点；2.对行业的上下游产业链及主要技术进行总结归纳；3.精通一种或几种自动化电气/机械产品的应用，能够提出有效的产品改进优化建议，并推动研发解决复杂项目的系统编程和调试；4.通过核心工艺和技术难点攻关进入行业圈，有稳定的人脉，能够实现样板点建立；5.对技术人员的进行有效培养根据业务规划，确定人员规划，积极辅导低级别技术人员并帮助其成长，以满足技术要求。任职资格:1.精通电机、变频器基本原理及应用；2.熟练掌握电动汽车动力系统应用；3.有多产品组合方案实现经历；4.具备工程机械液压系统、新能源动力系统其中一类应用经验优先。
高级客户经理（工程机械）,8-10k·20薪,南京,1-3年,本科及以上,职责描述：1.负责设备金融直租、回租业务的市场开发、维护，挖掘客户资金需求，致力于为客户提供个性化的融资解决方案；2.负责直租、回租客户融资租赁项目的导入、论证、方案设计、资信评估及风险管理；3.负责融资项目立项、信息收集、项目评估论证到签约全过程，确保项目推进合理节奏；4.与行业相关供应商、厂商建立广泛联系，整合渠道资源，推进区域业务；5.积极配合公司业务及职能部门，参与项目调研、资金安排、商务运作、信息收集和信用调查安排及出险后期处理工作。任职资格:任职要求：1.全日制本科或以上学历，三年以上工作经验；2.具备融资租赁中小微直租客户营销经验；3.具有较强的客户需求分析判断能力和独立解决客户问题能力，能够通过全面的客户关系管理，培养、建立客户的忠诚度；4.具较强的团队协调与合作能力，具有较强的自我心理调解能力，能够承受压力并进行自我调节和自我激励，并能适应较多出差工作；5.具有较强的沟通能力和应变能力，能够有效地进行讲解、陈述和谈判等。
公用工程机械工程师,6-14k·15薪,南京,5-10年,本科及以上,职责描述：1.负责安排施工单位或组织相关人员开展作业，全面负责监督、管理施工作业单位的各项作业行为符合公司的各项HSE管理规定。2.负责组织施工作业的各项工作的JHA分析，确保各项HSE措施落实到位。3.执行公司关于QHSE相关规定，特别是气味管理相关规定。4.根据设备文件，执行设备检、维修计划。5.对故障设备进行初步检查判断，并根据相关规定采取对应措施，确保生产连续运行。6.与生产外操配合执行设备日常保养、维护。7.配合、管理、监督第三方维修人员现场施工维修活动。8.执行设备巡检工作。9.负责设备检维修记录填写工作。10.负责现场维修前、后的设备交接工作。11.定期或不定期针对使用设备设施人员、维修人员进行培训与提升。12.对设备故障的原因进行统计、汇总并分析，提出纠正措施，降低设备故障率，提高运行效率。13.能够适应设备维修应急响应工作。任职要求：1.具有本科或以上的学历，化工机械/机械制造/自动化类相关专业，5年以上化工设备维修经验。2. 熟悉动设备（压缩机、泵、搅拌桨等设备）结构和维修方法。熟悉静设备（管道、塔、釜、反应器等设备）结构和维修方法。3. 熟悉掌握化工生产中的各种设备检、维修技能。4. 常见动设备的维护保养技能。5. 大型机组、釜、塔的结构、材料知识。6. 有一定的火灾和危险事故处理能力。7. 能够掌握一定的英语读写能力。8. 掌握识图、制图知识，能熟练使用OFFICE，CAD软件。9. 具有一定的检修经验，熟悉施工流程，有较强的施工组织协调能力。10. 优先考虑有SAP使用经验人员。
Senior Mechanical Engineer （工程机械）,15-20k,苏州-太仓,10年以上,学历不限,"Job Duty:. Play as a team member of mechanical customize design according to client specifications . Detailed design of main parts and attachment, prepare product drawings, bill of materials, component specifications . Follow the guidance of chief mechanical designers to ensure that the company design strategies will be met.. Participate “As Built” modification to drawings and documents when necessary . Participate project localization from engineering point of view. Support related departments for technical issues on component / parts specifications, and quotation, etc . Other tasks assigned Qualifications . Bachelor of science or above . Major in mechanical engineering or related. Good knowledge of design programs, e.g. AutoCAD, Catia, Solid works etc.. Related certificates . 5 years’ experience in machinery industry design, experience of crane industry is preferred. Familiar with computer / office skills . Good written and spoken English . Self-motivated working, responsible, honesty, good learning, and team work and communicate skill."
Senior Mechanical Engineer （工程机械）,15-20k,苏州-太仓,10年以上,学历不限,"Job Duty:. Play as a team member of mechanical customize design according to client specifications . Detailed design of main parts and attachment, prepare product drawings, bill of materials, component specifications . Follow the guidance of chief mechanical designers to ensure that the company design strategies will be met.. Participate “As Built” modification to drawings and documents when necessary . Participate project localization from engineering point of view. Support related departments for technical issues on component / parts specifications, and quotation, etc . Other tasks assigned Qualifications . Bachelor of science or above . Major in mechanical engineering or related. Good knowledge of design programs, e.g. AutoCAD, Catia, Solid works etc.. Related certificates . 5 years’ experience in machinery industry design, experience of crane industry is preferred. Familiar with computer / office skills . Good written and spoken English . Self-motivated working, responsible, honesty, good learning, and team work and communicate skill."
大客户销售工程师（工程机械行业）,薪资面议,南京-江宁区,1-3年,大专及以上,职责描述：1、负责区域内的销售工作，为客户提供产品和方案；2、结合市场情况、客户情况和销售目标，策划销售计划及执行；3、负责老客户的维护和新客户的开拓；4、按照CRM系统要求，建立客户档案，制定拜访计划、提交客户拜访记录和商机等；5、支持其他部门做好日常相关工作。任职要求：1、大专以上学历，专业不限；2、具有工程机械行业的配套件产品销售经验(液压配套件、传动配套件优先)，熟悉本行业的客户需求信息优先考虑；3、良好的销售战略策划和商务汇报能力；4、具有英语听说读写能力优秀者优先。
大客户销售工程师（工程机械方向）,8-11k·20薪,南京,经验不限,大专及以上,市场及营销 1、负责区域内的销售工作，为客户提供产品和方案； 2、结合市场情况、客户情况和销售目标，策划销售计划及执行； 3、负责老客户的维护和新客户的开拓； 4、按照CRM系统要求，建立客户档案，制定拜访计划、提交客户拜访记录和商机等； 5、支持其他部门做好日常相关工作。工作要求1、大专以上学历，专业不限； 2、具有工程机械行业的配套件产品销售经验优先考虑(液压配套件、传动配套件)，熟悉本行业的客户需求信息； 3、良好的销售战略策划和商务汇报能力； 4、具有英语听说读写能力优秀者优先。
液压工程师（工程机械）,15-25k,南通-港闸区,5-10年,本科及以上,职责描述：1、液压系统设计（液压原理图、工作装置管路、上车管路、下车管路、先导管路等）2、液压油箱总成设计3、配套件的技术协议签订及采购订单下发4、出厂资料编制5、车间技术服务6、技术通知单、修改通知单编写与下发7、临时安排的工作；任职要求：1、本科以上学历，流体传动与控制或机械相关专业。2、五年以上制造行业挖掘机液压工作经验3、熟悉液压相关设计软件
工程机械设计师,12-17k,无锡,3-5年,大专及以上,岗位职责：1.钢结构的设计及计算；2.钢结构制造工艺；3.参与公司安排的其他事物；任职资格：1.从事3年以上钢结构设计及工程机械设计等相关工作经验；2.能独立完成非标自动化设计的设计；3.懂得机械结构、机械传动原理、机械加工工艺；4.能精通使用AUTO CAD、熟练使用Proe/croe软件；5.具备良好的分析及解决问题的能力；6.具备良好的组织协调能力及服务意识；7.具备一定的电气知识；8.为人积极态度乐观，工作认真负责；有团队合作精神，能够承受一定的工作压力。
工程机械（二手）销售主管,6-12k,徐州,1-3年,本科及以上,职责描述：1、熟悉并掌握工程机械二手机行业、区域市场、竞品、潜在客户分布等情况；2、负责区域内合伙人的开拓、沟通、洽谈和协议签署，做好合伙人的管理及评估工作；3、负责工厂、代理商等渠道工程设备拓展和搜寻，组织将设备信息统计上传到线上平台；4、了解客户诉求，匹配推荐合适二手设备（挖掘机、、起重机、装载机等工程机械），促成订单；5、对有金融服务需求对客户进行推荐，解决客户资金周转问题；6、筛选目标客户，通过社群裂变、微信营销等方式积累拓展客户，并且分类精细化运营；任职要求：1、本科以上学历，对工程机械行业热爱；2、2年以上销售类、市场类或互联网产品运营经验，具备一定的市场分析及判断能力，良好的客户服务意识，有一定工程机械产品知识经验和销售经验；3、熟悉工程机械二手机交易规则以及各类营销工具。有互联网+工程机械、汽车等经验者优先，有工程机械二手机相关行业资源者优先；4、优秀的沟通能力，对工作有热情，自驱力强，能够承受压力；
